company,country,website,emails,phones
Qasr Al-Maaden,Iraq,https://www.qasr-almaaden.com/,,+9647903960030
Al Sultan Group,Iraq,https://alsultangroup.co/en/,info@alsultan-group.net,+9647702735970; +9647722222335
Aradh Alhadeed,Iraq,https://ardalhaded.com.iq/en/,,+9647733333544; +9647901874632
Iraqi Hadeed,Iraq,https://iraqishaded.com/,info@iraqishaded.com,+9647770010700; +9647870010700
Al-Rasheed International Trading,Iraq,https://rasheedtrading.com/,pr@rasheedtrading.com; rasheed@rasheedtrading.com,+201103845000; +201144453000
AL-Fairoz Al-Thahabi,Iraq,https://fairozthahabi.com/,info@fairozthahabi.com,+9647730957222; +9647739093531
Khan Alhadeed,Iraq,https://khanalhadeed.com.iq/,info@khanalhadeed.com.iq,+9647812229099
Maalim Al-Asima,Iraq,https://maalim-alasimah.iq/en/,husseinsalm30@gmail.com,+9647731313156
Meskent Group,Iraq,https://www.meskent-group.com/,info@meskent-group.com,+9647504467931; +9647512225555
Darin Steel,Iraq,https://darinsteel.com/,info@darinsteel.com,+9647502950001
Bilad Alwafaa,Iraq,https://biladalwafaa.com/,biladalwafaaco@gmail.com,+9647509385152
Van Steel Iraq,Iraq,https://vansteeliraq.com/,,+9647502036262; +9647737273333
Yaaqub Group,Iraq,https://yaaqubgroup.com/,,+9647703550960
Hritan Iron & Steel,Iraq,https://www.hritansteel.com.iq/,info@hritansteel.com.iq; manager@hritansteel.com.iq; sales@hritansteel.com.iq,+9647708849352; +9647733738738; +9647800442035
Alam Al-Hadid,Iraq,https://alamalhadid.com/,info@alamalhadid.com,+9647504441797; +9647511111797
Star Steel Iraq,Iraq,https://starsteeliraq.com/,,+9647707007800; +9647855556060
Erbil Steel Company,Iraq,https://www.erbilsteel.com/,,+9647504351818
Steel Syria,Syria,https://steel-syria.com/,info@steel-syria.com; sales@steel-syria.com,+963214731045; +963214731046; +963214731057
State Company for Iron and Steel,Iraq,https://steel-iraq.com/,,+9647801025474
Isnad,Syria,https://www.isnad-sy.com/,sales@isnad-sy.com,+963115855016
Mediterranean Steel,Syria,https://med-steel.com/,info@med-steel.com,+963115851281
ALLOH Steel Industries,Syria,https://alloh-co.com/,,+963116216584; +963944282628
Memleka Al Mudhish,Iraq,https://memlekaalmudhish.com/,,
Basra Steel Galvanizing,Iraq,https://basra-galvanizing.com/,info@basra-galvanizing.com; omar.jamal@basra-galvanizing.com,+9647811111767
Halkawt Steel,Iraq,https://www.halkawtsteel.com/,info@halkawtsteel.com,+964662514013
Syrian Steel & Iron Company (Salb),Syria,https://www.salb-sy.com/,,+963115851110; +963115851112; +963115851113; +963947777602
Steel Tech Company,Syria,https://www.steeltechsyria.com/,,+963115851240
Al Anmaa Steel Factory,Iraq,http://alanmaa.com/,,
